Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
30-34,34,Doctoral degree,Research Scientist,5-10 years,1-2 years,1,"60,000-69,999",65068
30-34,34,Doctoral degree,Research Scientist,5-10 years,4-5 years,5,"60,000-69,999",66158
30-34,34,Bachelor's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",69862
30-34,30,Bachelor's degree,Business Analyst,3-5 years,1-2 years,1,"70,000-79,999",73262
30-34,30,Master's degree,Data Scientist,3-5 years,2-3 years,2,"70,000-79,999",74268
30-34,30,Master's degree,Other,3-5 years,3-4 years,3,"70,000-79,999",76061
30-34,30,Master's degree,Data Scientist,1-2 years,3-4 years,4,"70,000-79,999",78421
30-34,30,Doctoral degree,Research Scientist,10-20 years,5-10 years,8,"70,000-79,999",78447
30-34,31,Bachelor's degree,Software Engineer,1-2 years,I do not use machine learning methods,0,"70,000-79,999",70710
30-34,31,Master's degree,Business Analyst,1-2 years,1-2 years,2,"70,000-79,999",71051
30-34,31,Bachelor's degree,Data Scientist,5-10 years,4-5 years,4,"70,000-79,999",72341
30-34,31,Doctoral degree,Data Scientist,3-5 years,1-2 years,2,"70,000-79,999",78665
30-34,31,Some college/university study without earning a bachelor's degree,Data Scientist,1-2 years,1-2 years,2,"70,000-79,999",79993
30-34,32,Some college/university study without earning a bachelor's degree,Software Engineer,1-2 years,Under 1 year,0.7,"70,000-79,999",72195
30-34,32,Master's degree,Other,1-2 years,1-2 years,1,"70,000-79,999",75110
30-34,32,Master's degree,Data Analyst,3-5 years,2-3 years,2,"70,000-79,999",79481
30-34,33,Doctoral degree,Data Scientist,10-20 years,3-4 years,3,"70,000-79,999",73519
30-34,33,Doctoral degree,Research Scientist,10-20 years,5-10 years,7,"70,000-79,999",73916
30-34,34,Master's degree,Software Engineer,3-5 years,1-2 years,2,"70,000-79,999",72113
30-34,34,Master's degree,Business Analyst,3-5 years,3-4 years,4,"70,000-79,999",72224
30-34,34,Master's degree,Machine Learning Engineer,3-5 years,4-5 years,4,"70,000-79,999",73832
30-34,34,Master's degree,Research Scientist,1-2 years,1-2 years,2,"70,000-79,999",75349
30-34,34,Master's degree,Data Analyst,3-5 years,1-2 years,2,"70,000-79,999",76016
30-34,34,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"70,000-79,999",76393
30-34,34,Master's degree,Other,5-10 years,4-5 years,5,"70,000-79,999",77681
30-34,34,Master's degree,Business Analyst,5-10 years,2-3 years,2,"70,000-79,999",79545
30-34,30,Doctoral degree,Research Scientist,5-10 years,1-2 years,2,"80,000-89,999",82773
30-34,30,Master's degree,Data Analyst,3-5 years,2-3 years,3,"80,000-89,999",85190
30-34,31,Master's degree,Data Analyst,10-20 years,3-4 years,4,"80,000-89,999",81303
30-34,31,Doctoral degree,Research Scientist,10-20 years,5-10 years,8,"80,000-89,999",82261
30-34,32,Bachelor's degree,Product/Project Manager,3-5 years,1-2 years,2,"80,000-89,999",80380
30-34,32,Master's degree,Other,I have never written code,,,"80,000-89,999",80924
30-34,32,Bachelor's degree,Software Engineer,10-20 years,1-2 years,2,"80,000-89,999",81841
30-34,32,Doctoral degree,Data Scientist,1-2 years,1-2 years,2,"80,000-89,999",82290
30-34,32,Master's degree,Data Scientist,1-2 years,1-2 years,2,"80,000-89,999",83233
30-34,32,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.6,"80,000-89,999",86153
30-34,32,Master's degree,Other,3-5 years,1-2 years,1,"80,000-89,999",87285
30-34,32,Master's degree,Data Analyst,1-2 years,Under 1 year,0.1,"80,000-89,999",87322
30-34,32,Master's degree,Other,1-2 years,Under 1 year,0.1,"80,000-89,999",87766
30-34,33,Bachelor's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"80,000-89,999",83609
30-34,33,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"80,000-89,999",86071
30-34,33,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"80,000-89,999",87455
30-34,33,Master's degree,Data Scientist,5-10 years,3-4 years,3,"80,000-89,999",88997
30-34,34,Doctoral degree,Data Engineer,5-10 years,2-3 years,2,"80,000-89,999",80076
30-34,34,Master's degree,Data Engineer,3-5 years,Under 1 year,0.7,"80,000-89,999",83685
30-34,34,Master's degree,Business Analyst,3-5 years,2-3 years,3,"80,000-89,999",86006
30-34,34,Master's degree,Software Engineer,10-20 years,Under 1 year,0.4,"80,000-89,999",87483
30-34,34,Bachelor's degree,DBA/Database Engineer,5-10 years,I do not use machine learning methods,0,"80,000-89,999",87969
30-34,34,Master's degree,Data Scientist,5-10 years,3-4 years,3,"80,000-89,999",88788
30-34,30,Master's degree,Data Scientist,3-5 years,2-3 years,2,"90,000-99,999",94217
30-34,30,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"90,000-99,999",94387
30-34,30,Doctoral degree,Data Scientist,5-10 years,2-3 years,2,"90,000-99,999",96406
30-34,30,Master's degree,Data Analyst,3-5 years,2-3 years,3,"90,000-99,999",97671
30-34,30,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,6,"90,000-99,999",98619
30-34,31,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"90,000-99,999",91160
30-34,31,Bachelor's degree,Data Scientist,5-10 years,3-4 years,3,"90,000-99,999",94421
30-34,31,Bachelor's degree,Research Scientist,1-2 years,I do not use machine learning methods,0,"90,000-99,999",95836
30-34,31,Doctoral degree,Data Scientist,3-5 years,3-4 years,4,"90,000-99,999",96315
30-34,31,Master's degree,Data Scientist,3-5 years,3-4 years,4,"90,000-99,999",96928
30-34,32,Some college/university study without earning a bachelor's degree,Software Engineer,5-10 years,2-3 years,2,"90,000-99,999",90079
30-34,32,Master's degree,Machine Learning Engineer,3-5 years,1-2 years,2,"90,000-99,999",93925
30-34,32,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.7,"90,000-99,999",95261
30-34,33,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"90,000-99,999",91843
30-34,33,Master's degree,Data Scientist,3-5 years,2-3 years,3,"90,000-99,999",94623
30-34,33,Bachelor's degree,Data Analyst,5-10 years,Under 1 year,0.1,"90,000-99,999",98313
30-34,33,Master's degree,Product/Project Manager,20+ years,I do not use machine learning methods,0,"90,000-99,999",98656
30-34,33,Master's degree,Data Scientist,3-5 years,2-3 years,3,"90,000-99,999",99662
30-34,34,Bachelor's degree,Other,3-5 years,1-2 years,1,"90,000-99,999",91291
30-34,34,Bachelor's degree,Data Engineer,5-10 years,2-3 years,3,"90,000-99,999",91503
30-34,34,Master's degree,Data Scientist,5-10 years,3-4 years,3,"90,000-99,999",93972
30-34,34,Master's degree,Statistician,3-5 years,Under 1 year,0.4,"90,000-99,999",95999
30-34,34,Master's degree,Other,5-10 years,Under 1 year,0.8,"90,000-99,999",97513
30-34,30,Doctoral degree,Currently not employed,5-10 years,1-2 years,2,,
30-34,30,Master's degree,Data Scientist,3-5 years,1-2 years,1,,
30-34,30,Master's degree,Currently not employed,1-2 years,2-3 years,3,,
30-34,30,Doctoral degree,Student,3-5 years,3-4 years,4,,
30-34,30,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
30-34,30,Master's degree,Student,1-2 years,I do not use machine learning methods,0,,
30-34,30,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.9,,
30-34,30,Bachelor's degree,Software Engineer,3-5 years,Under 1 year,0.4,,
30-34,30,Master's degree,Currently not employed,1-2 years,Under 1 year,0.7,,
30-34,30,Master's degree,Currently not employed,1-2 years,Under 1 year,0.2,,
30-34,30,Master's degree,Currently not employed,< 1 years,Under 1 year,0.1,,
30-34,30,Bachelor's degree,Software Engineer,3-5 years,,,,
30-34,30,Bachelor's degree,Business Analyst,< 1 years,,,,
30-34,30,I prefer not to answer,Student,< 1 years,,,,
30-34,30,Master's degree,Currently not employed,I have never written code,,,,
30-34,30,Master's degree,Data Analyst,3-5 years,,,,
30-34,30,Master's degree,Currently not employed,< 1 years,,,,
30-34,30,Master's degree,Business Analyst,1-2 years,,,,
30-34,30,Master's degree,Data Scientist,5-10 years,,,,
30-34,30,Master's degree,Student,< 1 years,,,,
30-34,30,Professional degree,Data Analyst,,,,,
30-34,31,Bachelor's degree,Currently not employed,1-2 years,1-2 years,2,,
30-34,31,Master's degree,Data Scientist,5-10 years,1-2 years,2,,
30-34,31,Doctoral degree,Student,10-20 years,2-3 years,3,,
30-34,31,Doctoral degree,Currently not employed,5-10 years,4-5 years,4,,
30-34,31,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
30-34,31,Master's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
30-34,31,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.5,,
30-34,31,Bachelor's degree,Student,I have never written code,,,,
30-34,31,Bachelor's degree,Product/Project Manager,10-20 years,,,,
30-34,31,Bachelor's degree,,,,,,
30-34,31,Doctoral degree,Student,1-2 years,,,,
30-34,31,Master's degree,,,,,,
30-34,31,Master's degree,Data Analyst,< 1 years,,,,
30-34,32,Bachelor's degree,Student,1-2 years,1-2 years,1,,
30-34,32,Master's degree,Currently not employed,5-10 years,2-3 years,3,,
30-34,32,Doctoral degree,Student,3-5 years,4-5 years,5,,
30-34,32,Bachelor's degree,Currently not employed,10-20 years,5-10 years,6,,
30-34,32,Doctoral degree,Student,10-20 years,5-10 years,10,,
30-34,32,Bachelor's degree,Student,< 1 years,Under 1 year,1.0,,
30-34,32,Bachelor's degree,DBA/Database Engineer,5-10 years,Under 1 year,0.6,,
30-34,32,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.9,,
30-34,32,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.8,,
30-34,32,Doctoral degree,Currently not employed,< 1 years,Under 1 year,0.2,,
30-34,32,Doctoral degree,Student,1-2 years,Under 1 year,0.7,,
30-34,32,Doctoral degree,Currently not employed,10-20 years,Under 1 year,0.7,,
30-34,32,Doctoral degree,Machine Learning Engineer,3-5 years,,,,
30-34,32,Master's degree,Business Analyst,< 1 years,,,,
30-34,32,Master's degree,Machine Learning Engineer,5-10 years,,,,
30-34,32,Master's degree,Student,I have never written code,,,,
30-34,32,Master's degree,Software Engineer,10-20 years,,,,
30-34,32,Professional degree,Data Analyst,3-5 years,,,,
30-34,33,Doctoral degree,Student,3-5 years,1-2 years,2,,
30-34,33,Doctoral degree,Student,1-2 years,1-2 years,1,,
30-34,33,Doctoral degree,Student,1-2 years,1-2 years,2,,
30-34,33,Master's degree,Data Engineer,5-10 years,1-2 years,2,,
30-34,33,Master's degree,Student,1-2 years,1-2 years,1,,
30-34,33,Professional degree,Currently not employed,1-2 years,1-2 years,2,,
30-34,33,Doctoral degree,Research Scientist,3-5 years,2-3 years,2,,
30-34,33,Master's degree,Data Scientist,3-5 years,3-4 years,3,,
30-34,33,Professional degree,Currently not employed,5-10 years,4-5 years,5,,
30-34,33,Master's degree,Software Engineer,10-20 years,5-10 years,5,,
30-34,33,Master's degree,Student,< 1 years,I do not use machine learning methods,0,,
30-34,33,Master's degree,Currently not employed,3-5 years,I do not use machine learning methods,0,,
30-34,33,Some college/university study without earning a bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
30-34,33,Bachelor's degree,Data Analyst,< 1 years,Under 1 year,0.1,,
30-34,33,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.6,,
30-34,33,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.0,,
30-34,33,Doctoral degree,Student,< 1 years,Under 1 year,0.7,,
30-34,33,Doctoral degree,Currently not employed,5-10 years,Under 1 year,0.9,,
30-34,33,Master's degree,Student,1-2 years,Under 1 year,0.2,,
30-34,33,Master's degree,Currently not employed,< 1 years,Under 1 year,0.7,,
30-34,33,Bachelor's degree,Software Engineer,10-20 years,,,,
30-34,33,Doctoral degree,Student,1-2 years,,,,
30-34,33,Master's degree,Other,I have never written code,,,,
30-34,33,Master's degree,Currently not employed,I have never written code,,,,
30-34,33,Master's degree,,,,,,
30-34,33,Master's degree,Software Engineer,5-10 years,,,,
30-34,33,Master's degree,Student,< 1 years,,,,
30-34,34,Master's degree,Student,3-5 years,1-2 years,1,,
30-34,34,Master's degree,Currently not employed,1-2 years,1-2 years,1,,
30-34,34,Master's degree,Data Engineer,5-10 years,1-2 years,1,,
30-34,34,Master's degree,Student,1-2 years,1-2 years,2,,
30-34,34,Master's degree,Currently not employed,10-20 years,2-3 years,2,,
30-34,34,Master's degree,Student,5-10 years,2-3 years,3,,
30-34,34,Master's degree,Student,3-5 years,3-4 years,3,,
30-34,34,Doctoral degree,Machine Learning Engineer,5-10 years,5-10 years,10,,
30-34,34,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
30-34,34,Bachelor's degree,Currently not employed,3-5 years,I do not use machine learning methods,0,,
30-34,34,Bachelor's degree,Currently not employed,5-10 years,Under 1 year,0.4,,
30-34,34,Doctoral degree,Student,5-10 years,Under 1 year,0.6,,
30-34,34,Master's degree,Other,5-10 years,Under 1 year,0.7,,
30-34,34,Bachelor's degree,Student,3-5 years,,,,
30-34,34,Bachelor's degree,Student,I have never written code,,,,
30-34,34,Master's degree,Student,< 1 years,,,,
30-34,34,Master's degree,Student,I have never written code,,,,
30-34,34,Master's degree,Data Analyst,,,,,
30-34,34,Some college/university study without earning a bachelor's degree,Software Engineer,5-10 years,,,,
35-39,35,Doctoral degree,Research Scientist,10-20 years,20 or more years,23,"> $500,000",662044
35-39,35,Master's degree,Data Analyst,3-5 years,4-5 years,5,$0-999,13
35-39,35,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,$0-999,187
35-39,35,Bachelor's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,$0-999,340
35-39,35,Master's degree,Software Engineer,10-20 years,Under 1 year,0.1,$0-999,374
35-39,35,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,20 or more years,29,$0-999,654
35-39,36,Some college/university study without earning a bachelor's degree,Software Engineer,< 1 years,Under 1 year,0.1,$0-999,145
35-39,37,Bachelor's degree,Other,5-10 years,1-2 years,2,$0-999,323
35-39,37,Master's degree,Data Analyst,5-10 years,1-2 years,1,$0-999,425
35-39,37,Bachelor's degree,Other,20+ years,Under 1 year,0.7,$0-999,436
35-39,38,Master's degree,Other,10-20 years,5-10 years,5,$0-999,181
35-39,38,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.6,$0-999,274
35-39,39,Bachelor's degree,Machine Learning Engineer,20+ years,5-10 years,6,$0-999,248
35-39,39,Bachelor's degree,Other,3-5 years,Under 1 year,0.9,$0-999,379
35-39,39,Some college/university study without earning a bachelor's degree,Other,10-20 years,1-2 years,1,$0-999,985
35-39,35,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.5,"1,000-1,999",1382
35-39,35,Bachelor's degree,Machine Learning Engineer,3-5 years,2-3 years,3,"100,000-124,999",102310
35-39,35,Master's degree,Data Scientist,5-10 years,Under 1 year,0.6,"100,000-124,999",104931
35-39,35,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.7,"100,000-124,999",107901
35-39,35,Doctoral degree,Statistician,10-20 years,Under 1 year,0.1,"100,000-124,999",111097
35-39,35,Professional degree,Software Engineer,10-20 years,3-4 years,3,"100,000-124,999",115260
35-39,35,Master's degree,Other,3-5 years,Under 1 year,0.7,"100,000-124,999",116821
35-39,35,Master's degree,Machine Learning Engineer,10-20 years,10-20 years,20,"100,000-124,999",120699
35-39,35,Master's degree,Data Scientist,5-10 years,5-10 years,9,"100,000-124,999",121480
35-39,35,Some college/university study without earning a bachelor's degree,Business Analyst,10-20 years,Under 1 year,0.1,"100,000-124,999",124981
35-39,36,Master's degree,Research Scientist,5-10 years,5-10 years,10,"100,000-124,999",104443
35-39,36,Master's degree,Business Analyst,5-10 years,I do not use machine learning methods,0,"100,000-124,999",105265
35-39,36,Master's degree,Product/Project Manager,10-20 years,1-2 years,1,"100,000-124,999",110174
35-39,36,Bachelor's degree,Product/Project Manager,10-20 years,I do not use machine learning methods,0,"100,000-124,999",111751
35-39,36,Bachelor's degree,Data Analyst,5-10 years,I do not use machine learning methods,0,"100,000-124,999",117921
35-39,36,Doctoral degree,Research Scientist,10-20 years,4-5 years,4,"100,000-124,999",119508
35-39,36,Doctoral degree,Research Scientist,1-2 years,1-2 years,1,"100,000-124,999",123749
35-39,37,Master's degree,Data Scientist,5-10 years,5-10 years,9,"100,000-124,999",100694
35-39,37,Bachelor's degree,Data Engineer,< 1 years,Under 1 year,0.2,"100,000-124,999",102400
35-39,37,Doctoral degree,Data Analyst,5-10 years,I do not use machine learning methods,0,"100,000-124,999",111237
35-39,37,Doctoral degree,Data Scientist,5-10 years,2-3 years,2,"100,000-124,999",112048
35-39,37,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.2,"100,000-124,999",113203
35-39,37,Master's degree,Research Scientist,10-20 years,2-3 years,2,"100,000-124,999",113243
35-39,37,Master's degree,Data Analyst,1-2 years,Under 1 year,0.3,"100,000-124,999",113422
35-39,37,Master's degree,Machine Learning Engineer,10-20 years,5-10 years,8,"100,000-124,999",113497
35-39,37,Master's degree,Data Engineer,10-20 years,1-2 years,2,"100,000-124,999",113798
35-39,37,Doctoral degree,Data Scientist,5-10 years,2-3 years,2,"100,000-124,999",115162
35-39,37,Doctoral degree,Other,5-10 years,5-10 years,8,"100,000-124,999",124700
35-39,38,Master's degree,Machine Learning Engineer,10-20 years,Under 1 year,0.0,"100,000-124,999",103461
